Firm Initiated,Iterations Until Recovery,Starting Price,Price Drop,Restoration Iteration,Simulation
0,5849,19,9,5851,1
0,2,19,1,5854,1
0,139,19,8,5994,1
0,1,17,1,5998,1
0,5,16,2,6006,1
0,45,16,5,6055,1
1,381,19,9,6437,1
0,5,18,2,6447,1
0,414,18,8,6863,1
1,1762,21,10,8626,1
1,165,20,8,8793,1
1,2,20,1,8798,1
0,2,18,1,8804,1
0,2,17,1,8808,1
0,1,16,1,8811,1
0,12,16,2,8824,1
0,106,19,5,8934,1
0,2,19,1,8937,1
1,6151,22,12,15090,1
1,221,21,6,15313,1
1,322,21,6,15636,1
0,2,18,1,15642,1
0,2,19,1,15647,1
0,2,18,1,15651,1
1,105,21,5,15759,1
1,47,21,4,15808,1
0,39,22,5,15848,1
1,2197,23,11,18046,1
0,7,20,2,18057,1
1,5,20,1,18063,1
0,1,21,1,18066,1
1,129,21,7,18196,1
1,1,19,1,18200,1
0,252,23,9,18454,1
1,1,22,1,18457,1
1,1,22,1,18460,1
1,326,23,10,18789,1
0,2,23,1,18792,1
1,8915,26,14,27709,1
1,21458,31,18,49169,1
0,1,30,1,49172,1
1,2683,30,19,51857,1
1,3522,32,18,55380,1
0,11,29,2,55396,1
1,116,30,8,55516,1
0,11,28,3,55530,1
1,10,26,3,55545,1
0,32,25,4,55582,1
0,3,24,1,55588,1
1,2,23,1,55594,1
0,61,25,5,55656,1
0,5,25,2,55667,1
0,94,30,7,55767,1
1,3,30,1,55771,1
1,1,28,1,55775,1
0,16,31,3,55792,1
0,1,29,1,55797,1
1,428,31,11,56228,1
1,1,30,1,56231,1
0,8,32,2,56241,1
1,1,31,1,56245,1
1,1,30,1,56248,1
0,11,28,4,56264,1
0,157,31,13,56422,1
0,1,31,1,56424,1
1,5,31,1,56430,1
1,3015,33,20,59446,1
1,9458,33,16,68905,1
1,312,33,11,69219,1
0,1,31,1,69223,1
1,1,28,1,69230,1
0,4,30,1,69235,1
0,41,30,6,69277,1
0,457,32,11,69735,1
1,5565,35,18,75301,1
0,1,34,1,75304,1
0,1,34,1,75306,1
1,16486,36,20,91793,1
0,97,34,9,91894,1
0,4358,37,20,96253,1
0,2593,37,15,98847,1
1,9526,37,20,108374,1
0,5324,37,19,113699,1
0,2,37,1,113702,1
0,1,34,1,113707,1
1,32,37,4,113741,1
0,1,36,1,113744,1
1,12351,38,23,126096,1
0,2,37,1,126100,1
1,16,37,3,126117,1
1,4,35,1,126125,1
0,9737,39,25,135864,1
0,1,37,1,135869,1
1,9389,39,22,145259,1
1,888,39,15,146148,1
0,3,38,2,146153,1
1,61,38,4,146217,1
0,33,38,3,146251,1
0,3,37,1,146256,1
1,287,38,11,146546,1
1,139,38,11,146686,1
0,1870,40,23,148557,1
0,13,42,2,148571,1
0,82266,46,31,230839,1
0,1,41,1,230847,1
0,1,40,1,230850,1
1,6,40,1,230857,1
0,2,40,1,230861,1
1,5,41,2,230867,1
0,1667,45,20,232537,1
0,12560,45,25,245100,1
0,1,44,1,245103,1
0,11,44,2,245115,1
1,7,44,2,245123,1
1,3338,44,21,248462,1
1,14,44,3,248477,1
0,9,44,2,248487,1
0,11,45,3,248506,1
0,17112,46,25,265619,1
0,1748,48,21,267368,1
1,7361,20,10,7362,2
0,447,20,7,7810,2
0,67,20,7,7879,2
0,1,20,1,7881,2
0,102,18,6,7989,2
1,16,18,3,8009,2
1,39,19,4,8049,2
0,2013,21,10,10063,2
1,6863,24,13,16929,2
1,128,24,8,17058,2
1,740,25,11,17800,2
0,1765,26,13,19569,2
0,116,25,5,19687,2
0,680,26,8,20368,2
1,1336,27,12,21705,2
1,1,27,1,21707,2
1,1,25,1,21711,2
0,1,24,1,21714,2
0,1,24,1,21716,2
0,1,24,1,21718,2
1,107,26,7,21826,2
0,1,26,1,21828,2
1,1,26,1,21831,2
0,6051,29,15,27883,2
1,729,28,12,28614,2
1,2,27,1,28618,2
0,2459,29,15,31078,2
0,1,29,1,31080,2
0,9,27,2,31092,2
1,47,28,4,31140,2
1,17698,33,17,48843,2
0,932,32,13,49779,2
0,4759,33,14,54541,2
1,1,28,1,54550,2
0,4,27,2,54558,2
0,1,27,1,54560,2
1,288,32,10,54852,2
1,53,32,5,54907,2
0,97,32,6,55005,2
0,9,30,2,55017,2
1,1,32,1,55019,2
0,4,30,2,55026,2
1,14,33,4,55043,2
1,1,32,1,55046,2
0,69,31,5,55117,2
1,5,31,1,55123,2
1,2,31,1,55126,2
0,16,32,3,55143,2
0,9,31,3,55154,2
1,1,31,1,55156,2
0,5,32,2,55162,2
0,122,32,7,55285,2
1,4405,34,14,59691,2
1,7,35,2,59700,2
1,602,35,12,60303,2
0,1,35,1,60305,2
1,7421,36,17,67728,2
0,9,34,2,67740,2
1,1,35,1,67743,2
1,135,33,6,67881,2
0,62,31,8,67946,2
1,187,33,9,68134,2
1,121,31,6,68258,2
0,4,31,1,68263,2
0,53,31,5,68317,2
1,40,33,5,68359,2
0,5,33,2,68365,2
1,61,33,6,68427,2
1,2549,37,16,70978,2
0,49,36,4,71029,2
0,1,36,1,71033,2
0,208,34,13,71244,2
1,16,34,2,71261,2
0,3,32,2,71267,2
1,1,32,1,71269,2
1,1,32,1,71271,2
0,40,34,4,71312,2
1,7763,37,17,79077,2
0,2760,36,15,81839,2
1,1032,36,15,82872,2
1,464,36,8,83337,2
0,1,36,1,83339,2
1,17912,40,20,101254,2
0,2,39,1,101258,2
1,52,39,9,101313,2
1,134,37,13,101450,2
0,14,36,4,101466,2
1,1,37,1,101468,2
1,352,37,12,101821,2
0,1,37,1,101823,2
0,16,37,4,101840,2
1,334,37,10,102177,2
1,16,38,4,102194,2
0,1,38,1,102197,2
1,1537,39,12,103735,2
0,123,39,15,103859,2
1,258,39,9,104120,2
0,141,39,7,104262,2
1,358,40,12,104621,2
0,4,39,1,104627,2
0,22,38,5,104651,2
1,2503,40,16,107155,2
1,2,39,1,107159,2
1,3,39,1,107163,2
0,116,38,8,107282,2
1,1805,41,17,109089,2
0,153,40,8,109244,2
1,7,40,2,109252,2
1,1,40,1,109254,2
0,1,33,1,109264,2
0,1,33,1,109266,2
1,2,33,1,109269,2
1,3,33,1,109273,2
0,11,36,3,109287,2
1,16,39,3,109306,2
1,1,39,1,109308,2
1,23,36,6,109335,2
1,7,38,2,109344,2
0,6,37,1,109352,2
1,4,38,1,109360,2
0,1,38,1,109362,2
1,2,37,1,109366,2
1,2,37,1,109369,2
0,307,38,9,109677,2
1,9046,42,18,118725,2
1,448,42,9,119174,2
1,6787,43,22,125962,2
1,11361,45,25,137324,2
1,3064,42,18,140392,2
1,6340,45,21,146733,2
1,21105,44,23,167840,2
0,1,44,1,167842,2
0,3,44,1,167846,2
1,2282,47,28,170129,2
1,46795,49,31,216925,2
1,65819,50,28,282749,2
1,296,49,18,283047,2
1,1,49,1,283049,2
0,1,46,1,283056,2
0,1,49,1,283061,2
1,1,49,1,283065,2
1,418,48,12,283485,2
0,113,48,10,283599,2
0,30,48,6,283630,2
1,9060,50,27,292691,2
1,45766,51,29,338458,2
1,3774,17,7,3778,3
0,1117,17,7,4897,3
0,57,16,4,4956,3
1,1,16,1,4958,3
0,283,18,8,5242,3
0,460,17,7,5705,3
0,201,17,6,5907,3
0,72,17,6,5980,3
0,219,17,7,6200,3
1,37,17,6,6239,3
0,234,17,7,6476,3
