Firm Initiated,Iterations Until Recovery,Starting Price,Price Drop,Restoration Iteration,Simulation
1,23,11,1,25,1
0,10,11,1,38,1
0,10,12,2,49,1
1,96,12,2,147,1
0,1,12,1,149,1
1,993,14,4,1143,1
0,3,14,1,1147,1
1,833,16,6,1981,1
1,100,15,4,2083,1
1,1392,17,7,3476,1
1,1,17,1,3478,1
0,1637,20,10,5118,1
0,2091,20,9,7210,1
0,1,20,1,7212,1
1,14,19,4,7229,1
1,148,19,8,7378,1
0,666,20,8,8045,1
0,588,20,10,8636,1
0,329,20,8,8966,1
0,62,20,6,9029,1
0,1,20,1,9031,1
0,436,20,8,9468,1
0,201,20,7,9670,1
0,355,20,9,10026,1
0,12233,25,15,22260,1
1,4,22,1,22270,1
0,64,23,6,22335,1
0,41,23,5,22378,1
0,8,23,2,22388,1
0,51,22,5,22443,1
1,104,24,8,22548,1
1,5681,27,15,28230,1
1,108,26,7,28340,1
1,887,26,10,29228,1
0,3,26,1,29232,1
1,3905,29,12,33140,1
1,6455,30,14,39596,1
0,203,28,8,39802,1
1,1,27,1,39805,1
1,1,27,1,39809,1
0,1,23,1,39817,1
0,3,23,1,39821,1
0,4,24,1,39829,1
1,68,29,7,39898,1
1,2,29,1,39901,1
1,1,28,1,39906,1
1,3,28,2,39910,1
0,1987,31,14,41899,1
1,1,28,1,41904,1
1,28,26,4,41935,1
0,29,29,5,41967,1
1,29,30,5,41997,1
0,22,28,5,42024,1
1,91,31,8,42117,1
0,14,29,3,42135,1
1,5323,32,15,47459,1
1,2582,33,14,50042,1
1,1,32,1,50046,1
0,4,31,2,50054,1
0,3,30,2,50059,1
1,653,33,10,50715,1
0,3,33,1,50719,1
1,8829,34,16,59550,1
1,5717,35,18,65268,1
1,978,35,13,66247,1
1,11235,36,18,77484,1
0,1,36,1,77486,1
1,10,36,1,77497,1
1,2,35,1,77505,1
1,1,35,1,77507,1
0,14889,37,18,92397,1
1,10996,38,19,103395,1
0,1,38,1,103397,1
0,1,38,1,103399,1
0,1,38,1,103401,1
0,23,38,4,103425,1
1,1,37,1,103428,1
1,995,37,14,104425,1
0,1,38,1,104429,1
1,21070,40,24,125501,1
0,15711,40,23,141213,1
1,1,39,1,141216,1
0,1254,39,21,142472,1
1,21,38,3,142495,1
0,1,36,1,142500,1
0,1,37,1,142503,1
0,4,37,1,142510,1
1,99,34,7,142615,1
0,1,34,1,142617,1
1,17,36,5,142635,1
1,1138,38,14,143774,1
0,1,38,1,143776,1
1,10743,39,21,154520,1
0,5230,40,20,159751,1
1,11453,42,22,171205,1
0,1,41,1,171208,1
1,1,41,1,171211,1
0,68,40,8,171281,1
0,1,41,1,171284,1
0,2,41,1,171288,1
1,174155,46,29,345448,1
0,1,46,1,345452,1
1,44,45,7,345498,1
1,20214,47,29,365713,1
1,25080,47,27,390794,1
0,14,11,1,18,2
0,5,12,2,26,2
0,114,13,3,141,2
0,27,13,3,169,2
1,9,12,2,182,2
1,12,12,2,195,2
0,9,13,2,206,2
0,436,15,5,644,2
1,75,15,5,720,2
1,1920,17,7,2643,2
1,127,18,7,2771,2
1,4190,21,11,6963,2
1,1,20,1,6966,2
1,144,20,6,7111,2
1,1,20,1,7113,2
1,1,20,1,7117,2
0,264,19,8,7383,2
0,15,18,2,7402,2
1,15,16,2,7420,2
1,21,19,5,7443,2
0,1,19,1,7445,2
1,1348,20,9,8794,2
0,3,20,2,8798,2
1,873,21,11,9672,2
0,1460,22,10,11134,2
0,665,22,9,11800,2
1,427,22,7,12228,2
0,2,22,1,12232,2
1,6679,25,13,18912,2
0,1752,25,13,20665,2
0,17783,28,14,38449,2
0,157,27,8,38608,2
0,213,27,8,38822,2
0,35,27,8,38860,2
1,1935,28,12,40797,2
1,4236,29,14,45034,2
0,142,27,9,45179,2
